Place Name,State,Latitude,Longitude
"Ghantaghar, Ghaziabad, Uttar Pradesh",Not Delhi,28.661770,77.425415
"Durga Nagar, Jabalpur, Madhya Pradesh",Not Delhi,23.196329,79.948296
"Raviwar Peth, Pune, Maharashtra",Not Delhi,18.517454,73.861244
"Rajendra Nagar, Khagaria, Bihar",Not Delhi,25.513687,86.480019
"Harinayan Park, Isbavi, Pandharpur, Maharashtra",Not Delhi,17.689329,75.303101
"Ishwar Nagar, Nagpur, Maharashtra",Not Delhi,21.128143,79.125618
"Kasturi Park, Narendrapur, Kolkata, West Bengal",Not Delhi,22.451530,88.399818
"Peint, Maharashtra",Not Delhi,20.264774,73.508148
"Ranip, Ahmedabad, Gujarat",Not Delhi,23.080135,72.572174
"Telinipara, Bhadreswar, West Bengal",Not Delhi,22.835373,88.360992
"Noori Market, Jaspur, Uttarakhand",Not Delhi,29.280394,78.831718
"Muthuramalinga Puram, Madurai, Tamil Nadu",Not Delhi,9.907271,78.094429
"Holipura, Uttar Pradesh",Not Delhi,26.903660,78.514259
"Kurla East, Mumbai, Maharashtra",Not Delhi,19.062054,72.883438
"Super Nagar, Perambalur, Tamil Nadu",Not Delhi,11.235264,78.858414
"Hatagarpet, Koppal, Karnataka",Not Delhi,15.346634,76.151489
"Chimmipwara, Deoband, Uttar Pradesh",Not Delhi,29.692122,77.680321
"Laaj Kunj, Tiwari Pura, Dabra, Madhya Pradesh",Not Delhi,25.883467,78.327850
"Ballabhgarh, Haryana",Not Delhi,28.341639,77.325348
"Chinhat, Lucknow, Uttar Pradesh",Not Delhi,26.879129,81.040222
"Simada Gam, Surat, Gujarat",Not Delhi,21.221901,72.900063
"Akshay Park, Hubli, Karnataka",Not Delhi,15.349241,75.110558
"Mominpura, Nagpur, Maharashtra",Not Delhi,21.155722,79.094162
"Ramanathapuram, Coimbatore, Tamil Nadu",Not Delhi,10.997455,76.991592
"Badarpur, New Delhi",Delhi,28.503962,77.301826
"Rajendra Nagar, Hubballi, Karnataka",Not Delhi,15.345651,75.117004
"Khardaha, Kolkata, West Bengal",Not Delhi,22.700346,88.374535
"Veerannapet, Mahbubnagar, Telangana",Not Delhi,16.744120,77.979477
"Hakikat Nagar, Jind, Haryana",Not Delhi,29.338751,76.295883
"Saravanampatty, Coimbatore, Tamil Nadu",Not Delhi,11.076375,77.002983
"Melapalayam, Tirunelveli, Tamil Nadu",Not Delhi,8.704419,77.713730
"Viman Nagar, Pune, Maharashtra",Not Delhi,18.566526,73.912239
"Uthamapuram, Cumbum, Tamil Nadu",Not Delhi,9.742051,77.284348
"Loharsi, Chhattisgarh",Not Delhi,21.103676,81.496544
"Syam Way Pharmacity Colony, Vedullanarava, Andhra Pradesh",Not Delhi,17.696905,83.114456
"Rethibowli, Mehdipatnam, Hyderabad, Telangana",Not Delhi,17.392130,78.428604
"Naroda, Ahmedabad, Gujarat",Not Delhi,23.068586,72.653595
"KHB Games Village, Koramangala, Bengaluru, Karnataka",Not Delhi,12.945240,77.622826
"Chaukipur, Uttar Pradesh",Not Delhi,25.763325,82.719879
"Maqbool Nagar, Uttar Pradesh",Not Delhi,26.299276,81.971207
Abul Fazal Enclave,Delhi,28.559238,77.293312
"Kharvad Ground, Vadnagar, Gujarat",Not Delhi,23.792542,72.635262
"Chelekare, HRBR Layout, Bengaluru, Karnataka",Not Delhi,13.025689,77.644119
"HRBR Layout, Bengaluru, Karnataka",Not Delhi,13.025402,77.644302
"Dabri, New Delhi",Delhi,28.609674,77.089539
"Rampole Ki Bari Colony, Kabir Nagar, Jodhpur, Rajasthan",Not Delhi,26.299938,73.013405
"Patankar Bazar, Daulat Ganj, Gwalior, Madhya Pradesh",Not Delhi,26.202232,78.157845
"Guniyapur, Uttar Pradesh",Not Delhi,29.531151,78.342934
"Randhir Colony, Morar, Gwalior, Madhya Pradesh",Not Delhi,26.245176,78.211517
"Lalitha Nagar, Akkayyapalem, Visakhapatnam, Andhra Pradesh",Not Delhi,17.735182,83.301376
"Kalyan Nagar, Bengaluru, Karnataka",Not Delhi,13.028005,77.639969
"Bir, Beed, Maharashtra",Not Delhi,18.984575,75.757202
"Bagh-e-Jahan Ara, Madannapet, Hyderabad, Telangana",Not Delhi,17.363512,78.493797
"Bhayandar East, Mira Bhayandar, Maharashtra",Not Delhi,19.305601,72.859375
"Zumbropuram, Goripalayam, Madurai, Tamil Nadu",Not Delhi,9.933491,78.127579
"IIFL Mahavir Enclave, New Delhi",Delhi,28.602983,77.078239
"Mahalaxmi Sindhi Colony, Matunga West, Mumbai, Maharashtra",Not Delhi,19.028082,72.844902
"Khamla, Nagpur, Maharashtra",Not Delhi,21.109221,79.057442
"Khushhalpur, Moradabad, Uttar Pradesh",Not Delhi,28.843233,78.739120
"Madina Colony, Falaknuma, Hyderabad, Telangana",Not Delhi,17.335840,78.465958
"Veer Sawarkar Nagar, Indore, Madhya Pradesh",Not Delhi,22.700949,75.858482
"Naini, Allahabad, Uttar Pradesh",Not Delhi,25.379194,81.877068
"Madinah Mohalla, Balotra, Rajasthan",Not Delhi,25.835470,72.244148
"Gajandoh F.V., Madhya Pradesh",Not Delhi,21.774109,78.754707
"Sri Krishna Puri, Patna, Bihar",Not Delhi,25.609688,85.118111
