Place Name,State,Latitude,Longitude
"Nayapalli, Bhubaneswar",Odisha,20.289898,85.810219
"Atladara, Vadodara",Gujarat,22.270041,73.149727
"Partap Sasan, Uttara",Odisha,20.202372,85.868217
"Lohara, Ludhiana",Punjab,30.845461,75.886803
"Infocity, Chandrasekharpur, Bhubaneswar",Odisha,20.344744,85.803818
"Kondalampatti, Salem",Tamil Nadu,11.634618,78.123848
"Medchal, Secunderabad",Hyderabad,17.630222,78.484215
"Karamganj, Darbhanga",Bihar,26.130026,85.892578
"Anand Nagar, Nanded",Maharashtra,19.174959,77.319305
"Ghantaghar, Ghaziabad",Uttar Pradesh,28.66177,77.425415
"Durga Nagar, Jabalpur",Madhya Pradesh,23.196329,79.948296
"Raviwar Peth, Pune",Maharashtra,18.517454,73.861244
"Rajendra Nagar, Khagaria",Bihar,25.513687,86.480019
"Harinayan Park, Isbavi, Pandharpur",Maharashtra,17.689329,75.303101
"Ishwar Nagar, Nagpur",Maharashtra,21.128143,79.125618
"Kasturi Park, Narendrapur, Kolkata",West Bengal,22.45153,88.399818
Peint,Maharashtra,20.264774,73.508148
"Ranip, Ahmedabad",Gujarat,23.080135,72.572174
"Telinipara, Bhadreswar",West Bengal,22.835373,88.360992
"Noori Market, Jaspur, Uttarakhand",Uttar Pradesh,29.280394,78.831718
"Muthuramalinga Puram, Madurai",Tamil Nadu,9.907271,78.094429
Holipura,Uttar Pradesh,26.90366,78.514259
"Kurla East, Mumbai",Maharashtra,19.062054,72.883438
"Super Nagar, Perambalur",Tamil Nadu,11.235264,78.858414
"Hatagarpet, Koppal",Karnataka,15.346634,76.151489
"Chimmipwara, Deoband",Uttar Pradesh,29.692122,77.680321
"Laaj Kunj, Tiwari Pura, Dabra",Madhya Pradesh,25.883467,78.32785
"Ballabhgarh, Haryana",Haryana,28.341639,77.325348
"Chinhat, Lucknow",Uttar Pradesh,26.879129,81.040222
"Simada Gam, Surat",Gujarat,21.221901,72.900063
"Akshay Park, Hubli",Karnataka,15.349241,75.110558
"Mominpura, Nagpur",Maharashtra,21.155722,79.094162
"Ramanathapuram, Coimbatore",Tamil Nadu,10.997455,76.991592
"Badarpur, New Delhi",Delhi,28.503962,77.301826
"Rajendra Nagar, Hubballi",Karnataka,15.345651,75.117004
"Khardaha, Kolkata",West Bengal,22.700346,88.374535
"Veerannapet, Mahbubnagar",Not Delhi,16.74412,77.979477
"Hakikat Nagar, Jind, Haryana",Haryana,29.338751,76.295883
"Saravanampatty, Coimbatore",Tamil Nadu,11.076375,77.002983
"Melapalayam, Tirunelveli",Tamil Nadu,8.704419,77.71373
"Viman Nagar, Pune",Maharashtra,18.566526,73.912239
"Uthamapuram, Cumbum",Tamil Nadu,9.742051,77.284348
"Loharsi, Chhattisgarh",Chhattisgarh,21.103676,81.496544
"Syam Way Pharmacity Colony, Vedullanarava",Andhra Pradesh,17.696905,83.114456
"Rethibowli, Mehdipatnam",Hyderabad,17.39213,78.428604
"Naroda, Ahmedabad",Gujarat,23.068586,72.653595
"KHB Games Village, Koramangala, Bengaluru",Karnataka,12.94524,77.622826
Chaukipur,Uttar Pradesh,25.763325,82.719879
Maqbool Nagar,Uttar Pradesh,26.299276,81.971207
Abul Fazal Enclave,Delhi,28.559238,77.293312
"Kharvad Ground, Vadnagar",Gujarat,23.792542,72.635262
"Chelekare, HRBR Layout, Bengaluru",Karnataka,13.025689,77.644119
"HRBR Layout, Bengaluru",Karnataka,13.025402,77.644302
"Dabri, New Delhi",Delhi,28.609674,77.089539
"Rampole Ki Bari Colony, Kabir Nagar, Jodhpur",Rajasthan,26.299938,73.013405
"Patankar Bazar, Daulat Ganj, Gwalior",Madhya Pradesh,26.202232,78.157845
Guniyapur,Uttar Pradesh,29.531151,78.342934
"Randhir Colony, Morar, Gwalior",Madhya Pradesh,26.245176,78.211517
"Lalitha Nagar, Akkayyapalem, Visakhapatnam",Andhra Pradesh,17.735182,83.301376
"Kalyan Nagar, Bengaluru",Karnataka,13.028005,77.639969
"Bir, Beed",Maharashtra,18.984575,75.757202
"Bagh-e-Jahan Ara, Madannapet",Hyderabad,17.363512,78.493797
"Bhayandar East, Mira Bhayandar",Maharashtra,19.305601,72.859375
"Zumbropuram, Goripalayam, Madurai",Tamil Nadu,9.933491,78.127579
